Planet Name,Host Star,Number of Stars,Number of Planets,Number of Moons,Discovery Facility,Discovery Method,Discovery Telescope,Discovery Instrument,Discovery Year,Planet Radius [Earth radii],Planet Mass [Earth mass],Planet Density [g/cm^3],Equilibrium Temperature [K],Distance from Earth [pc],Spectral Type
HATS-15 b,HATS-15,1,1,0,HATSouth,Transit,0.18 m Takahashi Epsilon Astrograph,Apogee 4K CCD Sensor,2016-01-01,12.386,689.6911,1.97,1505.0,1139.55,G
HATS-16 b,HATS-16,1,1,0,HATSouth,Transit,0.18 m Takahashi Epsilon Astrograph,Apogee 4K CCD Sensor,2016-01-01,14.572,1039.3041,1.86,1592.0,757.044,G
HATS-17 b,HATS-17,1,1,0,HATSouth,Transit,0.18 m Takahashi Epsilon Astrograph,Apogee 4K CCD Sensor,2016-01-01,8.709,425.25654,3.5,814.0,400.331,G
HATS-18 b,HATS-18,1,1,0,Multiple Observatories,Transit,Multiple Telescopes,Multiple Instruments,2016-01-01,14.897,629.14449,1.1169,2069.0,624.368,
HATS-18 b,HATS-18,1,1,0,Multiple Observatories,Transit,Multiple Telescopes,Multiple Instruments,2016-01-01,14.986,629.3034,1.02,2060.0,624.368,G
HATS-2 b,HATS-2,1,1,0,HATSouth,Transit,0.18 m Takahashi Epsilon Astrograph,Apogee 4K CCD Sensor,2013-01-01,13.092,427.463,1.05,1577.0,341.925,K
HATS-22 b,HATS-22,1,1,0,HATSouth,Transit,Multiple Telescopes,Multiple Instruments,2017-01-01,10.682,870.8542,3.89,858.0,229.518,K
HATS-23 b,HATS-23,1,1,0,HATSouth,Transit,Multiple Telescopes,Multiple Instruments,2017-01-01,20.849,467.2101,0.29,1654.0,639.004,G
HATS-24 b,HATS-24,1,1,0,HATSouth,Transit,Multiple Telescopes,Multiple Instruments,2017-01-01,16.668,775.5052,0.92,2067.0,494.182,F
HATS-24 b,HATS-24,1,1,0,HATSouth,Transit,Multiple Telescopes,Multiple Instruments,2017-01-01,15.637,718.2958,1.03,2166.0,494.182,
HATS-25 b,HATS-25,1,1,0,HATSouth,Transit,0.18 m Takahashi Epsilon Astrograph,Apogee 4K CCD Sensor,2016-01-01,14.123,194.82979,0.38,1277.0,471.158,G
HATS-26 b,HATS-26,1,1,0,HATSouth,Transit,0.18 m Takahashi Epsilon Astrograph,Apogee 4K CCD Sensor,2016-01-01,19.616,206.5895,0.153,1918.0,861.843,F
HATS-27 b,HATS-27,1,1,0,HATSouth,Transit,0.18 m Takahashi Epsilon Astrograph,Apogee 4K CCD Sensor,2016-01-01,16.814,168.4499,0.18,1659.0,816.988,F
HATS-28 b,HATS-28,1,1,0,HATSouth,Transit,0.18 m Takahashi Epsilon Astrograph,Apogee 4K CCD Sensor,2016-01-01,13.384,213.58176,0.48,1253.0,535.383,G
HATS-29 b,HATS-29,1,1,0,HATSouth,Transit,0.18 m Takahashi Epsilon Astrograph,Apogee 4K CCD Sensor,2016-01-01,14.022,207.54299,0.411,1212.0,353.891,G
HATS-3 b,HATS-3,1,1,0,HATSouth,Transit,0.18 m Takahashi Epsilon Astrograph,Apogee 4K CCD Sensor,2013-01-01,15.48,340.382,0.51,1648.0,411.211,F
HATS-30 b,HATS-30,2,1,0,HATSouth,Transit,0.18 m Takahashi Epsilon Astrograph,Apogee 4K CCD Sensor,2016-01-01,13.171,224.38798,0.543,1414.0,342.14,G
HATS-31 b,HATS-31,1,1,0,HATSouth,Transit,0.18 m Takahashi Epsilon Astrograph,Apogee 4K CCD Sensor,2016-01-01,18.383,279.6904,0.243,1823.0,773.974,
HATS-32 b,HATS-32,1,1,0,HATSouth,Transit,0.18 m Takahashi Epsilon Astrograph,Apogee 4K CCD Sensor,2016-01-01,14.0,292.4036,0.58,1437.0,745.116,
HATS-33 b,HATS-33,1,1,0,HATSouth,Transit,0.18 m Takahashi Epsilon Astrograph,Apogee 4K CCD Sensor,2016-01-01,13.787,378.85336,0.79,1429.0,248.46,
HATS-34 b,HATS-34,1,1,0,HATSouth,Transit,0.18 m Takahashi Epsilon Astrograph,Apogee 4K CCD Sensor,2016-01-01,16.029,299.07803,0.4,1445.0,508.842,
HATS-35 b,HATS-35,1,1,0,HATSouth,Transit,0.18 m Takahashi Epsilon Astrograph,Apogee 4K CCD Sensor,2016-01-01,16.41,388.38826,0.484,2037.0,514.555,
HATS-36 b,HATS-36,1,1,0,HATSouth,Transit,0.18 m Takahashi Epsilon Astrograph,Apogee 4K CCD Sensor,2018-01-01,13.843,1022.14128,2.12,1356.0,856.436,G
HATS-37 A b,HATS-37 A,2,1,0,HATSouth,Transit,0.18 m Takahashi Epsilon Astrograph,Apogee 4K CCD Sensor,2020-01-01,6.793,31.46517,0.55,1085.0,211.896,
HATS-38 b,HATS-38,1,1,0,HATSouth,Transit,0.18 m Takahashi Epsilon Astrograph,Apogee 4K CCD Sensor,2020-01-01,6.882,23.51942,0.403,1294.0,343.525,
HATS-39 b,HATS-39,1,1,0,HATSouth,Transit,0.18 m Takahashi Epsilon Astrograph,Apogee 4K CCD Sensor,2018-01-01,17.598,200.2329,0.202,1645.0,878.521,
HATS-4 b,HATS-4,1,1,0,HATSouth,Transit,0.18 m Takahashi Epsilon Astrograph,Apogee 4K CCD Sensor,2014-01-01,11.433,420.471,1.55,1315.0,416.459,G
HATS-40 b,HATS-40,1,1,0,HATSouth,Transit,0.18 m Takahashi Epsilon Astrograph,Apogee 4K CCD Sensor,2018-01-01,17.71,505.3497,0.49,2101.0,1342.29,
HATS-41 b,HATS-41,1,1,0,HATSouth,Transit,0.18 m Takahashi Epsilon Astrograph,Apogee 4K CCD Sensor,2018-01-01,14.908,3082.951,5.1,1710.0,737.668,
HATS-42 b,HATS-42,1,1,0,HATSouth,Transit,0.18 m Takahashi Epsilon Astrograph,Apogee 4K CCD Sensor,2018-01-01,15.693,597.5204,0.83,1856.0,800.377,
HATS-43 b,HATS-43,1,1,0,HATSouth,Transit,0.18 m Takahashi Epsilon Astrograph,Apogee 4K CCD Sensor,2018-01-01,13.227,82.95363,0.191,1003.0,362.273,
HATS-44 b,HATS-44,1,1,0,HATSouth,Transit,0.18 m Takahashi Epsilon Astrograph,Apogee 4K CCD Sensor,2018-01-01,11.96,177.9848,0.56,1161.0,446.035,
HATS-45 b,HATS-45,1,1,0,HATSouth,Transit,0.18 m Takahashi Epsilon Astrograph,Apogee 4K CCD Sensor,2018-01-01,14.415,222.481,0.41,1518.0,772.11,
HATS-46 b,HATS-46,1,1,0,HATSouth,Transit,0.18 m Takahashi Epsilon Astrograph,Apogee 4K CCD Sensor,2018-01-01,10.122,54.98459,0.28,1054.0,453.808,
HATS-47 b,HATS-47,1,1,0,HATSouth,Transit,0.18 m Takahashi Epsilon Astrograph,Apogee 4K CCD Sensor,2020-01-01,12.52,117.27927,0.331,853.0,300.67,
HATS-48 A b,HATS-48 A,2,1,0,HATSouth,Transit,0.18 m Takahashi Epsilon Astrograph,Apogee 4K CCD Sensor,2020-01-01,8.967,77.23269,0.589,955.0,263.609,
HATS-49 b,HATS-49,1,1,0,HATSouth,Transit,0.18 m Takahashi Epsilon Astrograph,Apogee 4K CCD Sensor,2020-01-01,8.575,112.19399,0.986,835.0,324.413,
HATS-5 b,HATS-5,1,1,0,HATSouth,Transit,0.18 m Takahashi Epsilon Astrograph,Apogee 4K CCD Sensor,2014-01-01,10.223,75.323,0.39,1025.0,246.384,G
HATS-51 b,HATS-51,1,1,0,HATSouth,Transit,0.18 m Takahashi Epsilon Astrograph,Apogee 4K CCD Sensor,2017-01-01,15.805,244.09344,0.34,1553.0,389.57,
HATS-52 b,HATS-52,1,1,0,HATSouth,Transit,0.18 m Takahashi Epsilon Astrograph,Apogee 4K CCD Sensor,2017-01-01,15.491,711.9392,1.06,1834.0,555.134,
HATS-53 b,HATS-53,1,1,0,HATSouth,Transit,0.18 m Takahashi Epsilon Astrograph,Apogee 4K CCD Sensor,2017-01-01,15.02,189.10885,0.303,1312.0,585.77,
HATS-54 b,HATS-54,1,1,0,HATSouth,Transit,0.18 m Takahashi Epsilon Astrograph,Apogee 4K CCD Sensor,2019-01-01,11.96,241.5508,0.77,1625.0,748.585,
HATS-55 b,HATS-55,1,1,0,HATSouth,Transit,0.18 m Takahashi Epsilon Astrograph,Apogee 4K CCD Sensor,2019-01-01,14.022,292.72143,0.587,1367.0,609.838,
HATS-56 b,HATS-56,1,1,0,HATSouth,Transit,0.18 m Takahashi Epsilon Astrograph,Apogee 4K CCD Sensor,2019-01-01,18.921,191.33366,0.155,1902.0,564.409,
HATS-57 b,HATS-57,1,1,0,HATSouth,Transit,0.18 m Takahashi Epsilon Astrograph,Apogee 4K CCD Sensor,2019-01-01,12.767,1000.21101,2.65,1413.0,279.485,
HATS-58 A b,HATS-58 A,2,1,0,HATSouth,Transit,0.18 m Takahashi Epsilon Astrograph,Apogee 4K CCD Sensor,2019-01-01,12.274,327.3649,0.96,1721.0,403.591,
HATS-59 b,HATS-59,1,2,0,HATSouth,Transit,0.18 m Takahashi Epsilon Astrograph,Apogee 4K CCD Sensor,2018-01-01,12.621,256.17098,0.7,1128.0,642.884,
HATS-6 b,HATS-6,1,1,0,HATSouth,Transit,0.18 m Takahashi Epsilon Astrograph,Apogee 4K CCD Sensor,2015-01-01,11.187,101.38777,0.399,713.0,169.318,M
HATS-60 b,HATS-60,1,1,0,HATSouth,Transit,0.18 m Takahashi Epsilon Astrograph,Apogee 4K CCD Sensor,2018-01-01,12.924,210.40346,0.537,1528.0,486.474,
HATS-61 b,HATS-61,1,1,0,HATSouth,Transit,0.18 m Takahashi Epsilon Astrograph,Apogee 4K CCD Sensor,2018-01-01,13.395,1080.622,2.47,1226.0,679.761,
HATS-62 b,HATS-62,1,1,0,HATSouth,Transit,0.18 m Takahashi Epsilon Astrograph,Apogee 4K CCD Sensor,2018-01-01,11.825,56.89157,0.076,1237.0,523.067,
